,car_name,engineSize,year,mileage,price,link
732,Ford Focus 1.0 EcoBoost 140 ST-Line X 5dr,1.0,2018,42705,10695,www.theaa.com/used-cars/cardetails/137-693693
733,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr,1.0,2019,6453,14495,www.theaa.com/used-cars/cardetails/137-693352
734,Ford Focus 2.0 TDCi 185 ST-3 5dr,2.0,2018,30000,16995,www.theaa.com/used-cars/cardetails/137-693351
735,Ford Focus 1.0 EcoBoost 125 Titanium X 5dr,1.0,2018,19053,10890,www.theaa.com/used-cars/cardetails/137-693044
736,Ford Focus 1.0t Ecoboost Titanium Hatchback 5dr Petrol (s/s) (100 Ps),1.0,2018,14277,10394,www.theaa.com/used-cars/cardetails/109-296030
737,Ford Focus Rs,0.0,2017,45000,23990,www.theaa.com/used-cars/cardetails/71-137516
738,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr,1.0,2018,4054,14300,www.theaa.com/used-cars/cardetails/14-2608654
739,Ford Focus 5Dr Zetec 1.0 125PS,1.0,2019,7295,13399,www.theaa.com/used-cars/cardetails/14-2608594
740,Ford Focus   1.0 EcoBoost Hybrid mHEV 155 Vignale Edition 5dr,1.0,2020,288,23999,www.theaa.com/used-cars/cardetails/7-344679
741,Ford Focus   1.5 TDCi 120 ST-Line Navigation 5dr,1.5,2018,22976,11999,www.theaa.com/used-cars/cardetails/7-344635
742,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975669
743,Ford Focus 1.0 EcoBoost 125 Vignale 5dr,1.0,2019,7435,18250,www.theaa.com/used-cars/cardetails/37-2975638
744,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975602
745,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975600
746,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975573
747,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975446
748,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975417
749,Ford Focus 1.0 EcoBoost 125 Zetec Edition,1.0,2017,9273,11000,www.theaa.com/used-cars/cardetails/37-2975415
